,model_id,eval dataset,Performance,std
0,olmo1b_hf_ckpt424000_socialiqa_3epoch_2e-6_4shots,mnli_matched,0.33560876209882834,0.0047747151036286965
1,olmo1b_hf_ckpt738000_xsum_3epoch_2e-7_4shots,cnn,0.06093113920980165,0.0004070524650884239
2,olmo1b_hf_ckpt18000_paws_3epoch_2e-6_4shots,xsum,0.09632860031547044,0.0006384562167357828
3,olmo1b_checkpoint-1000_original_hf_4shots,cnn_instruct,0.09398842494254464,0.00045255275026395724
4,olmo1b_hf_ckpt505000_socialiqa_3epoch_2e-6_4shots,socialiqa_instruct,0.633125015206684,0.007306285908789524
5,olmo1b_checkpoint-18000_original_hf_4shots,xsum,0.11856305995852336,0.000572316517529117
6,olmo1b_original_hf_4shots,llmbar_Natural,0.575,0.04996749015356188
7,olmo1b_hf_ckpt1000_xsum_3epoch_2e-7_4shots,cnn,0.09711169253851143,0.00048341602628880926
8,olmo1b_hf_ckpt592000_paws_3epoch_2e-6_4shots,mnli_matched,0.3909819154355578,0.004950109564485745
9,olmo1b_checkpoint-738000_original_hf_4shots,llmbar_Adversarial_Neighbor,0.4253731343283582,0.042611859480176525
10,olmo1b_hf_ckpt505000_socialiqa_3epoch_2e-6_4shots,mnli_matched,0.3617435048395313,0.004847220152357857
11,olmo1b_checkpoint-342000_original_hf_4shots,rte_instruct,0.4608433734939759,0.010080668008299801
12,olmo1b_checkpoint-342000_original_hf_4shots,sciq,0.16562103422752658,0.004174279373440377
13,olmo1b_original_hf,socialiqa,0.03343192087546714,0.0008097436203347742
14,olmo1b_hf_ckpt424000_xsum_3epoch_2e-7_4shots,mnli_matched,0.3283749363219562,0.0046995055670160804
15,olmo1b_checkpoint-592000_original_hf_4shots,stsb_instruct,0.9960116026105874,0.001604386030961336
16,olmo1b_hf_ckpt505000_paws_3epoch_2e-6_4shots,stsb,0.7480058013052937,0.011567935594974675
17,olmo1b_checkpoint-18000_original_hf_4shots,mnli_matched_instruct,0.32760952623535405,0.004791419217076594
18,olmo1b_hf_ckpt1000_xsum_3epoch_2e-7_4shots,paws,0.557875,0.005544469094413084
19,olmo1b_checkpoint-342000_original_hf_4shots,sciq_instruct,0.18092232860846386,0.0038575035972397732
20,olmo1b_hf_ckpt738000_mnli_3epoch_2e-6_4shots,socialiqa,0.0,0.0
